adjmatrix_key,resp_status,age,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
746,3,35,1,3,2,0,0,0,0,0,0,1,1,1,2,1,1,2,0,1
749,3,30,1,3,2,0,0,0,0,0,0,6,1,1,2,1,1,2,0,1
752,1,45,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
756,1,45,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
760,1,45,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
775,2,48,1,3,2,0,0,0,0,0,0,3,1,1,1,1,1,2,1,0
778,3,20,1,3,2,0,0,0,0,0,0,8,1,2,2,1,1,2,0,0
785,1,50,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
787,3,20,1,3,2,0,0,0,0,0,0,5,1,2,2,1,1,2,0,0
790,1,85,1,3,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
792,3,30,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,0
795,1,75,1,3,2,0,0,0,0,0,0,7,1,2,2,1,1,2,0,1
803,3,18,1,1,2,0,0,0,0,0,0,10,1,1,2,1,3,2,0,1
1,1,33,1,4,1,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
7,2,30,1,4,2,0,0,0,0,0,0,8,1,1,1,1,1,2,1,0
13,2,39,1,4,2,0,0,0,0,0,0,6,1,2,2,1,1,2,1,0
22,1,76,1,4,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
24,3,47,1,4,2,0,0,0,0,0,0,7,1,1,1,1,1,2,0,1
37,1,55,1,4,1,0,0,1,0,0,0,9,1,1,2,1,1,2,0,1
40,1,43,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
45,1,72,1,4,1,0,1,1,0,0,0,12,1,1,2,1,1,2,0,0
46,2,21,1,4,2,0,0,0,0,0,0,11,1,2,2,1,1,2,0,0
48,1,60,1,4,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
50,3,30,1,4,2,0,0,0,0,0,0,12,1,2,2,1,1,2,1,0
51,3,27,1,4,2,0,0,0,0,0,0,14,1,1,2,1,1,2,0,1
58,1,35,1,4,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
