adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
451,2,2,40,1,2,0,0,0,0,0,0,2,1,1,2,1,6,0,1
453,1,1,50,1,2,1,0,0,0,0,0,2,1,2,2,1,6,1,0
454,2,2,45,1,2,1,0,0,0,0,0,2,1,1,2,1,6,1,0
471,1,1,31,1,2,0,0,1,0,0,0,1,1,2,2,3,2,0,1
472,2,2,26,1,2,0,0,0,0,0,0,2,1,2,1,1,6,1,1
484,1,1,40,1,3,1,0,0,0,0,0,2,1,2,1,1,6,1,0
485,2,2,35,1,3,0,0,0,0,0,0,2,2,2,2,1,6,1,0
493,1,1,65,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
494,2,2,55,1,3,1,0,0,0,0,0,2,2,2,1,1,6,1,1
495,1,3,35,1,2,0,0,1,0,0,0,1,1,2,1,1,6,1,0
496,2,2,30,1,3,0,0,1,0,0,0,2,2,2,1,1,2,1,1
502,1,1,57,1,3,1,0,0,0,0,0,1,1,2,1,1,6,1,0
503,2,2,48,1,3,1,0,0,0,0,0,2,1,2,1,1,6,1,0
505,2,3,20,1,3,0,0,1,0,0,1,1,2,2,2,1,2,1,0
507,1,1,50,1,4,0,0,1,1,0,0,1,1,2,1,1,2,1,0
508,2,2,39,1,4,0,0,1,0,0,0,2,2,2,2,1,2,1,0
516,1,1,35,1,4,0,0,1,0,0,0,1,1,2,1,1,2,1,0
517,2,3,30,1,4,0,0,1,0,0,0,2,2,2,1,1,2,0,0
520,1,1,65,1,4,0,0,1,1,0,0,1,1,2,1,1,2,1,0
521,2,3,50,1,4,0,0,1,0,0,0,2,1,2,1,1,2,1,1
522,1,1,45,1,4,1,1,1,0,1,1,2,1,2,1,1,1,1,0
523,2,2,37,1,4,1,1,1,0,1,0,2,1,2,1,3,1,1,0
532,1,1,40,1,4,0,0,1,0,0,0,1,1,2,1,3,2,0,0
533,2,2,32,1,4,0,0,1,0,0,0,2,2,2,1,1,2,1,0
534,1,3,41,1,4,0,0,1,0,0,0,1,2,2,2,1,2,1,0
535,2,3,33,1,4,0,0,1,0,0,0,2,2,2,1,1,2,1,0
551,1,1,45,1,1,1,1,0,1,1,0,1,1,2,1,1,6,1,0
552,2,2,40,1,1,0,0,1,0,0,0,2,2,2,1,1,2,1,0
558,1,1,38,1,3,1,1,0,1,1,0,1,1,2,1,1,6,1,0
559,2,2,30,1,4,1,0,0,0,0,0,2,2,2,2,1,6,0,0
563,2,1,50,1,4,0,0,1,0,0,0,2,2,2,2,1,2,1,0
572,1,1,35,2,3,1,0,1,1,0,0,1,1,2,1,3,7,1,0
573,2,2,28,2,3,1,0,1,1,0,0,2,2,1,2,3,7,1,0
583,1,1,40,1,2,0,0,1,0,0,0,2,1,2,2,1,2,1,0
584,2,2,33,1,2,0,0,1,0,0,0,1,2,1,1,1,2,1,0
587,1,1,35,2,3,1,0,1,1,0,0,2,1,2,1,3,7,1,0
588,2,2,30,2,3,1,0,0,0,0,0,2,2,2,2,3,7,0,0
597,2,1,48,1,2,0,1,1,1,1,0,2,1,2,1,1,2,1,0
607,1,1,40,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
608,2,2,35,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,0
611,1,1,35,1,2,0,1,1,0,0,0,2,1,2,2,1,2,0,0
612,2,2,30,1,2,0,0,1,0,0,0,1,2,2,2,1,2,0,1
614,1,1,30,1,2,0,0,1,0,0,0,2,1,2,2,1,2,1,0
615,2,2,23,1,2,0,0,0,0,0,0,2,2,2,2,1,6,1,1
634,2,1,38,2,3,1,0,1,0,0,0,1,1,2,2,1,7,1,1
638,2,2,54,1,4,0,0,1,0,0,0,2,1,2,1,3,2,1,0
646,1,1,40,1,1,0,0,1,0,0,0,2,1,2,1,3,2,0,0
647,2,2,35,1,1,1,0,0,0,0,0,2,2,2,2,3,6,0,0
659,1,1,35,1,3,0,0,1,0,0,0,2,1,2,2,3,2,0,0
660,2,2,30,1,2,0,0,0,0,0,0,1,1,2,1,3,2,0,1
677,1,1,47,1,3,1,0,0,0,0,1,1,1,2,1,1,6,1,0
678,2,2,35,1,3,1,0,0,0,0,0,2,1,2,2,1,6,1,0
684,1,1,64,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
685,2,2,49,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
686,1,1,32,1,3,0,0,1,0,0,1,1,1,2,1,1,2,1,0
687,2,3,24,1,3,0,0,0,0,0,0,2,2,2,2,1,6,0,0
