adjmatrix_key,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,workflag,shgparticipate,electioncard,rationcard,mothertongue_2,Y,Z
300,1,3,1,0,0,1,0,0,0,1,2,3,3,2,0,0
309,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
310,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
320,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
321,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
322,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
323,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
326,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
327,1,3,2,0,0,0,0,0,0,2,2,3,3,2,0,0
331,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
332,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
350,1,3,2,0,0,0,0,0,0,2,1,1,1,2,1,1
351,1,3,2,0,0,0,0,0,0,1,1,1,1,2,1,0
353,1,3,2,0,0,0,0,0,0,1,2,3,1,2,0,0
354,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
362,1,3,2,0,0,0,0,0,0,2,2,2,1,2,0,1
363,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
365,1,4,2,0,0,0,0,0,0,2,2,3,1,2,0,0
371,1,4,2,0,0,0,0,0,0,1,2,3,1,2,0,0
372,1,4,2,0,0,0,0,0,0,2,2,3,1,2,0,1
374,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
392,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
393,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
394,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
395,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
397,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,0
398,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
401,1,3,1,0,0,0,0,0,1,1,2,1,1,2,1,0
402,1,3,2,0,0,0,0,0,0,1,1,1,3,2,1,0
410,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
411,1,3,2,0,0,0,0,0,0,1,1,1,1,2,1,1
420,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
421,1,3,2,0,0,0,0,0,0,1,1,1,1,2,1,1
425,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,0
426,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,0
429,1,3,2,0,0,0,0,0,0,2,2,1,3,2,1,1
430,1,3,2,0,0,0,0,0,0,2,2,1,3,2,1,1
436,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
437,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
444,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
445,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
466,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
467,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
477,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,0
478,1,3,1,0,0,1,0,0,0,2,2,1,3,2,1,0
481,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
482,1,3,2,0,0,0,0,0,0,1,1,3,3,2,0,1
514,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
516,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
517,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
518,1,3,2,0,0,0,0,0,0,1,2,3,1,2,0,0
527,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
528,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
543,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
544,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
545,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
546,1,3,1,0,0,0,0,0,1,2,2,1,1,2,1,0
560,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
561,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
572,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
574,1,4,2,0,0,0,0,0,0,2,1,1,1,2,1,0
575,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
576,1,4,2,0,0,0,0,0,0,1,2,1,1,2,1,0
581,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
582,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
602,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
603,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
605,1,3,1,0,0,1,0,0,0,2,2,1,1,2,1,1
611,1,3,1,0,0,1,0,0,0,1,2,1,1,2,1,0
612,1,3,2,0,0,0,0,0,0,1,1,1,1,2,1,0
622,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
623,1,1,2,0,0,0,0,0,0,1,1,1,1,2,1,1
628,1,3,1,0,0,1,0,0,0,1,2,1,1,2,1,0
629,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
642,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
643,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
644,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,0
654,1,1,2,0,0,0,0,0,0,2,2,1,1,2,1,1
655,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
660,1,1,2,0,0,0,0,0,0,2,2,1,1,2,1,1
661,1,1,2,0,0,0,0,0,0,2,2,1,1,2,1,1
662,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,0
663,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
664,1,1,2,0,0,0,0,0,0,1,1,1,1,2,1,0
676,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
677,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,0
687,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
688,1,2,2,0,0,0,0,0,0,2,2,1,3,2,1,1
689,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
690,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
693,1,1,2,0,0,0,0,0,0,2,2,1,1,2,1,0
701,1,4,1,0,0,1,0,0,0,2,2,1,1,2,1,0
702,1,4,2,0,0,0,0,0,0,1,2,1,1,2,1,0
703,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
707,1,3,1,0,0,1,0,0,0,2,2,1,1,2,1,0
708,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
709,1,3,2,0,0,0,0,0,0,2,2,3,1,2,0,0
730,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
731,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
732,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
735,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
736,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
740,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
741,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
742,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
743,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
746,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
747,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
749,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
750,1,3,2,0,0,0,0,0,0,2,-999,1,1,2,1,0
752,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
753,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
756,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
757,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
760,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
761,1,3,2,0,0,0,0,0,0,2,1,1,1,2,1,1
774,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
775,1,3,2,0,0,0,0,0,0,1,1,1,1,2,1,0
778,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
785,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
786,1,3,2,0,0,0,0,0,0,1,1,1,1,2,1,1
787,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
789,1,3,2,0,0,0,0,0,0,1,2,3,3,2,0,0
790,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
791,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
792,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
795,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
802,1,1,2,0,0,0,0,0,0,1,2,3,3,2,0,0
803,1,1,2,0,0,0,0,0,0,1,2,1,3,2,1,0
